‘SA taking Israel to ICJ a significant move for a developing country’,"13 January 2024, 11:32 AM"
SA case against Israel is to stop suffering of Palestinians: Lamola,"11 January 2024, 1:50 PM"
Bo-Kaap prayer service in support of SA’s legal action against Israel,"10 January 2024, 9:26 PM"
SA has strong legal case against Israel: Ramaphosa,"10 January 2024, 6:12 AM"
"SA’s case to stop genocide by Israel is robust, principled: Lamola","7 January 2024, 2:01 PM"
Palestine solidarity vigils in Cape Town set to continue indefinitely,"3 January 2024, 9:12 PM"
"Israeli tanks, missiles strike Gaza in offensive against Hamas","29 December 2023, 7:58 AM"
Pandor wants ICC to issue arrest warrants for Israeli officials,"8 May 2024, 8:28 PM"
Calls mount in Southern Cape for ceasefire in Palestine,"1 May 2024, 7:45 PM"
Israel intensifies airstrikes on Gaza’s Rafah,"25 April 2024, 5:35 PM"
"Activists, political parties launch Week for Palestine","24 April 2024, 7:05 PM"
President Ramaphosa concerned Israel-Hamas war could spread further,"14 April 2024, 8:14 PM"
EFF urges Muslim community to reject parties supporting Israeli govt,"13 April 2024, 9:30 PM"
Twelve drown trying to reach aid at Gaza beach: Palestine authorities,"26 March 2024, 9:40 PM"
"Israel to attend new ceasefire talks, Gaza hunger crisis worsens","16 March 2024, 7:23 PM"
Israel calls on UN to press Hamas for the release of hostages,"12 March 2024, 11:18 AM"
Steenhuisen denies DA support of Israel,"5 March 2024, 9:51 AM"
Pro-Palestine protesters picket across country,"25 February 2024, 6:31 PM"
Israel intensifies strikes on Gaza’s Rafah,"22 February 2024, 6:06 AM"
"US, Russia to speak on Israeli occupation at top UN court","21 February 2024, 7:22 AM"
ICJ cannot overlook the grim situation in Palestine: Amb Madonsela,"20 February 2024, 7:15 PM"
ICJ must declare Israeli’s occupation as illegal,"19 February 2024, 3:05 PM"
ICJ opens hearings on Israel’s occupation of Palestinian territories,"19 February 2024, 9:30 AM"
SA’s move to take Israel to ICJ commended by SG of Fatah Movement,"17 February 2024, 7:03 PM"
Mandela would have approached ICJ over Palestine rights: Mashatile,"16 February 2024, 3:05 PM"
Israel not complying with ICJ order in Rafah: Pandor,"14 February 2024, 6:10 PM"
Govt concerned about attacks by Israel’s Defence Force in Rafah,"13 February 2024, 6:48 PM"
Israel’s continued bombing of Gaza is concerning: Mashatile,"11 February 2024, 6:51 AM"
Spain to send extra $3.8 million in aid to assist Palestine,"5 February 2024, 4:42 PM"
Israel’s occupation one of root causes of the conflict: Navi Pillay,"2 February 2024, 4:29 PM"
Countries must stop funding Israel’s military actions: Pandor,"31 January 2024, 6:28 PM"
ANC ready for potential sanctions over Palestine stance,"28 January 2024, 2:12 PM"
ACDP to challenge Ramaphosa on Palestine comments,"27 January 2024, 10:47 AM"
Fight for Palestine will not end with ICJ ruling: Allan Boesak,"27 January 2024, 10:18 AM"
DA calls on Israel to abide by ICJ ruling,"27 January 2024, 7:19 AM"
ANC elated with ICJ ruling in Israel-SA genocide case,"26 January 2024, 7:52 PM"
SA filed grossly unfounded case against Israel: US lawmakers,"25 January 2024, 11:47 AM"
ICJ to deliver judgment in SA-Israel case on Friday,"24 January 2024, 7:52 PM"
UN Chief urges end to Israel’s occupation,"24 January 2024, 10:02 AM"
Gift of the Givers commends SA’s ICJ case against Israel,"13 January 2024, 7:20 PM"
‘SA taking Israel to ICJ a significant move for a developing country’,"13 January 2024, 11:32 AM"
SA case against Israel is to stop suffering of Palestinians: Lamola,"11 January 2024, 1:50 PM"
Bo-Kaap prayer service in support of SA’s legal action against Israel,"10 January 2024, 9:26 PM"
SA has strong legal case against Israel: Ramaphosa,"10 January 2024, 6:12 AM"
"SA’s case to stop genocide by Israel is robust, principled: Lamola","7 January 2024, 2:01 PM"
Palestine solidarity vigils in Cape Town set to continue indefinitely,"3 January 2024, 9:12 PM"
"Israeli tanks, missiles strike Gaza in offensive against Hamas","29 December 2023, 7:58 AM"
Palestine brace for Rafah assault as Israel promises evacuation plan,"10 February 2024, 4:33 PM"
US Senate Democrats back two-state solution for Israel-Palestine,"25 January 2024, 10:05 AM"
"EC lawyers intend to take US to court for Israel, Palestine conflict","13 January 2024, 3:27 PM"
Israeli ambassador’s departure welcomed: Africa4Palestine,"21 November 2023, 12:40 PM"
‘Difficult to lump Russia-Ukraine and Palestine-Israel in same pot’,"29 October 2023, 3:33 PM"
EFF to stage protest at Israeli Embassy in solidarity with Palestine,"22 October 2023, 5:35 PM"
